model,rho_label,eta,realizations,va_mean,va_stdev_between_realizations,va_stderr,S_mean,S_stdev_between_realizations,S_stderr,t_eq_heuristic_estimate,source_run
vicsek,rho_1_over_2pi,0.10000000000000001,20,0.9921747323555008,0.007822867436279498,0.001749246336649046,0.8541493171219188,0.17214246214540274,0.03849222471713048,550,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,0.14999999999999999,20,0.9786008181445695,0.018548983265043974,0.0041476787494144325,0.8386617255163225,0.1127443485344508,0.025210402740196074,550,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,0.20000000000000001,20,0.9734199903748826,0.017986024789191687,0.004021797407362894,0.795261492338441,0.18018703485631496,0.04029104586028443,700,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,0.29999999999999999,20,0.9415466223081269,0.04111362207067767,0.009193285375127092,0.8126540639573617,0.11459586179279725,0.025624413690886555,2000,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,0.40000000000000002,20,0.9075182249215038,0.06554919923032887,0.014657246534969224,0.8152918887408394,0.12717510364539575,0.028437217679668617,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,0.5,20,0.8963228362937107,0.07014045959212166,0.01568388356210612,0.8010722018654229,0.12273256145278523,0.02744383504610981,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,1,20,0.7557718675579429,0.09612531811654854,0.021494274566739458,0.7498771652231845,0.13663334561716042,0.030552144879319364,2950,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,2,20,0.47137797528465386,0.06764537194846935,0.015125965004003487,0.5221310792804796,0.10384438628818989,0.023220310682213963,2800,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,3,20,0.3093784887320905,0.024770859211621258,0.005538932505826198,0.3396319120586276,0.0685224275827205,0.015322080605826962,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,4,20,0.24669568005111014,0.012407477754087584,0.0027743963687456258,0.25345811125916057,0.0726540695952359,0.01624594384569481,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,5,20,0.22574965780658682,0.0038634585208546486,0.0008638955880881782,0.19805338107928047,0.060917041402051564,0.01362146455631564,2700,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_2pi,6,20,0.22356241942430627,0.0024065312519725357,0.0005381167469388265,0.17382994670219853,0.06022968827874153,0.013467767725488836,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,0,20,0.9987722980620631,0.0022726726385276456,0.0005081850510351623,0.857825086306099,0.19484900683753592,0.043569562463705164,800,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,0.050000000000000003,20,0.9916881228645578,0.025568368405374464,0.00571726098281752,0.8883774453394707,0.1328634643467631,0.0297091738005482,1300,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,0.10000000000000001,20,0.9842220741719878,0.015710113278803287,0.0035128881225626254,0.8190115680455454,0.15788279712675418,0.03530366668532308,900,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,0.14999999999999999,20,0.9745569639421667,0.02726529879763305,0.006096706153835078,0.8545575676821514,0.1456737661131303,0.032573644356736466,750,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,0.20000000000000001,20,0.9661831721253569,0.03294723573773633,0.007367225878028886,0.8537550723759917,0.13587503996948325,0.030382582581726547,1150,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,0.29999999999999999,20,0.9440626524883641,0.0332114290226402,0.00742630129245329,0.822194294712616,0.13557420980218643,0.030315314911350717,2300,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,0.40000000000000002,20,0.9011885320522056,0.06394803410262724,0.014299215128094926,0.8191266428441646,0.09927692177055743,0.022198994567589517,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,0.5,20,0.8619933974095593,0.10583942535992483,0.023666414980430706,0.7791654048815941,0.13361909545928569,0.029878138053899626,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,1,20,0.6882200019856668,0.07764802996451037,0.017362627331958577,0.6569741384531524,0.1197761147220313,0.02678275345992753,3000,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,2,20,0.4935557834027737,0.05473776168780988,0.012239735607012652,0.5187087396281267,0.09374970075970865,0.020963070376897222,2900,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,3,20,0.3504002009276165,0.03474507794133715,0.007769235616035832,0.35604142692750285,0.10470197027405788,0.02341207229109557,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,4,20,0.2886995566902689,0.008707953570913446,0.0019471576129474499,0.254487917146145,0.061169289682916746,0.01367786898663784,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,5,20,0.27368988252554916,0.0037414461154990763,0.0008366127848408463,0.22491369390103566,0.040757616548181254,0.009113680120260361,sin_evidencia,vicsek_lowrho_cluster_study_1
vicsek,rho_1_over_3pi,6,20,0.26822026875041327,0.002829701848100444,0.0006327405688409377,0.224789534249894,0.054457058689219025,0.012176968508378933,3000,vicsek_lowrho_cluster_study_1
voter,rho_1_over_pi,0,20,0.9999493652277016,0.00014551920323532968,3.2539083046580444e-05,0.9408831612258494,0.13086137513081417,0.02926149304216009,900,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,0.050000000000000003,20,0.9810590121150856,0.019007128790818978,0.004250123203336461,0.8008796219187209,0.11833109331681266,0.026459636850826414,700,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,0.10000000000000001,20,0.9332069736407977,0.045178222350046045,0.010102157627730325,0.784839273817455,0.10233888467555961,0.02288367028760628,2400,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,0.14999999999999999,20,0.8957519534399736,0.04206972880640427,0.009407077340610104,0.8116339107261826,0.09030867670969968,0.02019363400809405,2500,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,0.20000000000000001,20,0.8635819904157087,0.05077235336693149,0.011353043350609913,0.7698263657561626,0.09582963327007704,0.021428157425076772,2850,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,0.29999999999999999,20,0.7726323540782501,0.07744112855859735,0.017316362771132396,0.8032228514323784,0.10267515203330423,0.022958861954659397,2550,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,0.40000000000000002,20,0.6760305737709806,0.08154939461533767,0.018234998988385032,0.7102712774816788,0.08602019019311226,0.019234699270925977,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,0.5,20,0.5792147296729966,0.08235274493643653,0.01841463358115737,0.6768758327781479,0.11073406809460254,0.02476089036846219,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,1,20,0.3924155107411994,0.030810912680035264,0.006889529520136908,0.5487903897401732,0.09902959960374651,0.022143691649856342,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,2,20,0.23508335735746191,0.010744495058618377,0.0024025421334981276,0.35200699533644236,0.06224964227406147,0.013919443169984603,2600,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,3,20,0.1845967758236281,0.004886719758289679,0.0010927037566527062,0.290700991005996,0.06881340108115908,0.01538714425804292,2500,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,4,20,0.1660425731279202,0.002978007107915803,0.0006659026330777287,0.23382640739506994,0.06508870917437908,0.014554277828162581,2950,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,5,20,0.15947219199371268,0.0023796139684776887,0.0005320978593724154,0.1825616255829447,0.03711976098886393,0.008300230887964456,2700,final_voter_lowrho_grid_v1
voter,rho_1_over_pi,6,20,0.1566837680436481,0.0026832143823194376,0.0005999849757071372,0.14849267155229845,0.028160441823927466,0.006296866219472997,1900,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,0,20,0.8847434768803859,0.2551840747066319,0.05706089378194136,0.8730346435709526,0.1670149623614041,0.03734568090996683,1200,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,0.050000000000000003,20,0.9811038529737196,0.015664566931277792,0.003502703649643242,0.8250395569620252,0.11719000282532673,0.026204481260082294,1050,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,0.10000000000000001,20,0.9400934081329131,0.041331371028414415,0.009241975522280002,0.7726224183877415,0.15819827138948514,0.03537420887498489,2750,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,0.14999999999999999,20,0.8845004124842586,0.06383852240385338,0.014274727567815943,0.7332007828114591,0.10189684370825622,0.022784826922433263,3000,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,0.20000000000000001,20,0.8233951753934781,0.08952119642953932,0.020017548064356138,0.7099787641572285,0.13671881809238137,0.030571257105799287,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,0.29999999999999999,20,0.7404311794770548,0.08763261932384248,0.019595249385447343,0.6804359593604264,0.09479288058412363,0.02119633247691204,2900,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,0.40000000000000002,20,0.6794245649289387,0.08127507981786546,0.01817366033494684,0.6750229013990673,0.12499552874542695,0.027949849915830365,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,0.5,20,0.6491015151104893,0.09304962266102607,0.020806528155075915,0.7035809460359761,0.12676210536757312,0.028344868457288445,2800,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,1,20,0.46436654515169173,0.06744678739688709,0.01508156014834156,0.5537287641572285,0.15072675759049278,0.033703527600047425,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,2,20,0.30520112459769594,0.02415887506339423,0.0054020886901674035,0.3986529813457695,0.10679653570276261,0.023880431359286046,2950,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,3,20,0.24689825159564002,0.009586108552909476,0.002143519036399773,0.31630787808127914,0.12396514161589342,0.02771944834935258,2950,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,4,20,0.2291015854550417,0.0042942981420368564,0.0009602342561245457,0.24399358760826115,0.05676960878675334,0.012694070430324982,3000,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,5,20,0.22320939607581386,0.002300317137586476,0.0005143665489451097,0.20595644570286478,0.046513304957509466,0.010400691174316913,2900,final_voter_lowrho_grid_v1
voter,rho_1_over_2pi,6,20,0.22229193863912694,0.004001474559492287,0.000894756912526078,0.17281812125249835,0.023996477024503287,0.005365775384730123,3000,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,0,20,0.8531251932952303,0.22411614318719328,0.050113893102164055,0.8919811035067531,0.15896271928521805,0.03554514462099643,1300,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,0.050000000000000003,20,0.8303856314460093,0.2289068301243127,0.05118512326719598,0.7980649264126946,0.1609659843378651,0.03599308830446328,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,0.10000000000000001,20,0.8434429360919757,0.16396746690966027,0.03666424021084477,0.716752468051602,0.18680341601282763,0.04177051366338553,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,0.14999999999999999,20,0.7860196886448058,0.16711588647729098,0.037368248228336044,0.7417812367512567,0.17859733903464856,0.03993557906820508,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,0.20000000000000001,20,0.7525000321867357,0.1810632892071958,0.04048698228969938,0.7304736236448428,0.13426300076556583,0.030022119657491148,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,0.29999999999999999,20,0.7676130331970585,0.1261461523093118,0.028207137166366327,0.746614378293259,0.13745027615921274,0.03073481610181184,2850,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,0.40000000000000002,20,0.72758391580069,0.08814047468705519,0.01970880929693549,0.72718793531585,0.11606211964068118,0.025952278912927656,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,0.5,20,0.6004685130588245,0.1147060732153104,0.02564905771415019,0.6197534976682212,0.11815561837786132,0.02642039946164213,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,1,20,0.45201387325017184,0.04928832363333191,0.011021204214113957,0.49601477802677,0.08471202737551108,0.018942185172346585,3000,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,2,20,0.3226429268966262,0.03018824106174508,0.006750295913521242,0.36668281751559567,0.09603535449519782,0.02147415808945523,2950,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,3,20,0.29041196916636014,0.011357154900165855,0.002539537038776569,0.31851795772515296,0.04972878220184331,0.01111969374416033,2950,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,4,20,0.27492851296866344,0.005087050466929996,0.0011374990649027515,0.2618557325419417,0.06322966824074357,0.014138583638106215,3000,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,5,20,0.26880081208990125,0.003573265010469446,0.0007990063465031179,0.22715765247410818,0.05925602816753181,0.013250050705924343,sin_evidencia,final_voter_lowrho_grid_v1
voter,rho_1_over_3pi,6,20,0.2668280706699238,0.0031391877764538304,0.0007019437262287178,0.18846526558052207,0.04846356241269892,0.01083678199865985,sin_evidencia,final_voter_lowrho_grid_v1
